id,phase,priority,target,title,estimate,depends_on,status,branch,pr,notes
BOQ-005,4 BOQ / QTO / 5D,MUST,MVP,Ejecución asíncrona de mapping rules,0.5-1.5 d,"BOQ-004,FND-007",TODO,,,
BOQ-006,4 BOQ / QTO / 5D,MUST,MVP,Modelo de quantity rules,0.5-1.5 d,"BOQ-002,BIM-010",TODO,,,
BOQ-007,4 BOQ / QTO / 5D,MUST,MVP,Motor QTO reproducible,0.5-1.5 d,"BOQ-005,BOQ-006,BIM-012",TODO,,,
BOQ-008,4 BOQ / QTO / 5D,MUST,MVP,Conversiones de unidad 5D,0.5-1.5 d,BOQ-007,TODO,,,
BOQ-009,4 BOQ / QTO / 5D,SHOULD,MVP,Cantidades importadas y override,0.5-1.5 d,BOQ-007,TODO,,,
BOQ-010,4 BOQ / QTO / 5D,MUST,MVP,Rate catalogs,0.5-1.5 d,BOQ-002,TODO,,,
BOQ-011,4 BOQ / QTO / 5D,MUST,MVP,Cost revisions y budgets,0.5-1.5 d,"BOQ-001,BOQ-010",TODO,,,
BOQ-012,4 BOQ / QTO / 5D,MUST,MVP,Cálculo de importes y rollups,0.5-1.5 d,"BOQ-008,BOQ-010,BOQ-011",TODO,,,
BOQ-013,4 BOQ / QTO / 5D,MUST,MVP,API de trazabilidad 5D,0.5-1.5 d,"BOQ-003,BOQ-012",TODO,,,
BOQ-014,4 BOQ / QTO / 5D,SHOULD,Beta,Import/export CSV/XLSX,0.5-1.5 d,"BOQ-002,BOQ-010",TODO,,,
BOQ-015,4 BOQ / QTO / 5D,MUST,MVP,UI BOQ tree/editor,0.5-1.5 d,"BOQ-013,VWR-012",TODO,,,
BOQ-016,4 BOQ / QTO / 5D,MUST,MVP,Golden suite 5D,0.5-1.5 d,"BOQ-015,AUD-007",TODO,,,
SCH-001,5 Scheduling,MUST,MVP,WBS hierarchy,0.5-1.5 d,"FND-003,FND-001",TODO,,,
SCH-002,5 Scheduling,MUST,MVP,Activity CRUD,0.5-1.5 d,"SCH-001,FND-009",TODO,,,
SCH-003,5 Scheduling,MUST,MVP,Calendars y working time,0.5-1.5 d,SCH-002,TODO,,,
SCH-004,5 Scheduling,MUST,MVP,Activity relationships,0.5-1.5 d,SCH-002,TODO,,,
SCH-005,5 Scheduling,MUST,MVP,CPM forward pass,0.5-1.5 d,"SCH-003,SCH-004",TODO,,,
SCH-006,5 Scheduling,MUST,MVP,CPM backward pass y float,0.5-1.5 d,SCH-005,TODO,,,
SCH-007,5 Scheduling,MUST,MVP,Constraints y milestones,0.5-1.5 d,SCH-006,TODO,,,
SCH-008,5 Scheduling,MUST,MVP,Data date y status semantics,0.5-1.5 d,SCH-007,TODO,,,
SCH-009,5 Scheduling,SHOULD,MVP,Import schedule CSV,0.5-1.5 d,SCH-004,TODO,,,
SCH-010,5 Scheduling,COULD,Beta,MS Project adapter contract,0.5-1.5 d,SCH-009,TODO,,,
SCH-011,5 Scheduling,SHOULD,Beta,Primavera P6 adapter contract,0.5-1.5 d,SCH-009,TODO,,,
SCH-012,5 Scheduling,MUST,MVP,Schedule baselines,0.5-1.5 d,SCH-008,TODO,,,
SCH-013,5 Scheduling,SHOULD,Beta,What-if scenarios,0.5-1.5 d,SCH-012,TODO,,,
SCH-014,5 Scheduling,MUST,MVP,Schedule query/Gantt API,0.5-1.5 d,"SCH-006,SCH-008,SCH-012",TODO,,,
SCH-015,5 Scheduling,MUST,MVP,Gantt UI real,0.5-1.5 d,"SCH-014,VWR-012",TODO,,,
SCH-016,5 Scheduling,MUST,MVP,Golden CPM suite,0.5-1.5 d,"SCH-015,AUD-007",TODO,,,
D4-001,6 4D Simulation,MUST,MVP,Links elemento↔actividad,0.5-1.5 d,"BIM-015,SCH-002,VWR-012",TODO,,,
D4-002,6 4D Simulation,MUST,MVP,Motor de estados 4D,0.5-1.5 d,"D4-001,SCH-008",TODO,,,
D4-003,6 4D Simulation,MUST,MVP,Timeline controls,0.5-1.5 d,"D4-002,SCH-015",TODO,,,
D4-004,6 4D Simulation,MUST,MVP,Color/status legend,0.5-1.5 d,"D4-002,VWR-008",TODO,,,
D4-005,6 4D Simulation,SHOULD,MVP,Incremental 4D updates,0.5-1.5 d,"D4-003,D4-004",TODO,,,
D4-006,6 4D Simulation,SHOULD,Beta,4D federado,0.5-1.5 d,"D4-001,VWR-011,D4-005",TODO,,,
D4-007,6 4D Simulation,SHOULD,Beta,Planned vs actual visual,0.5-1.5 d,"D4-002,SCH-008",TODO,,,
D4-008,6 4D Simulation,MUST,Beta,4D E2E y performance gate,0.5-1.5 d,"D4-006,D4-007",TODO,,,
PRG-001,7 Progress / Productivity / EVM,SHOULD,Beta,ProgressRecord append-only,0.5-1.5 d,"BOQ-016,SCH-012,FND-004",TODO,,,
PRG-002,7 Progress / Productivity / EVM,SHOULD,Beta,API de captura de progreso,0.5-1.5 d,"PRG-001,FND-009",TODO,,,
PRG-003,7 Progress / Productivity / EVM,SHOULD,Beta,Physical progress por cantidad,0.5-1.5 d,"PRG-002,BOQ-007,D4-001",TODO,,,
PRG-004,7 Progress / Productivity / EVM,SHOULD,Beta,Resources y crews,0.5-1.5 d,SCH-002,TODO,,,
PRG-005,7 Progress / Productivity / EVM,SHOULD,Beta,Productivity rates,0.5-1.5 d,"PRG-004,BOQ-008",TODO,,,
PRG-006,7 Progress / Productivity / EVM,SHOULD,Beta,Forecast de duración por productividad,0.5-1.5 d,"PRG-003,PRG-005,SCH-003",TODO,,,
PRG-007,7 Progress / Productivity / EVM,SHOULD,Beta,Planned Value timephasing,0.5-1.5 d,"BOQ-011,SCH-012,D4-001",TODO,,,
PRG-008,7 Progress / Productivity / EVM,SHOULD,Beta,Earned Value,0.5-1.5 d,"PRG-003,PRG-007",TODO,,,
PRG-009,7 Progress / Productivity / EVM,SHOULD,Beta,Actual cost/commitments interface,0.5-1.5 d,"BOQ-011,FND-005",TODO,,,
PRG-010,7 Progress / Productivity / EVM,SHOULD,Beta,EVM KPIs y forecast,0.5-1.5 d,"PRG-008,PRG-009",TODO,,,
PRG-011,7 Progress / Productivity / EVM,SHOULD,Beta,S-curves y dashboard project controls,0.5-1.5 d,PRG-010,TODO,,,
PRG-012,7 Progress / Productivity / EVM,SHOULD,Beta,Golden suite progreso/EVM,0.5-1.5 d,"PRG-011,AUD-007",TODO,,,
COL-001,8 Collaboration / QA / IDS,SHOULD,Beta,Issues y comments,0.5-1.5 d,"VWR-014,FND-004",TODO,,,
COL-002,8 Collaboration / QA / IDS,SHOULD,Beta,Viewpoints y component selection,0.5-1.5 d,"COL-001,VWR-007,FND-006",TODO,,,
COL-003,8 Collaboration / QA / IDS,SHOULD,Beta,BCF import/export,0.5-1.5 d,COL-002,TODO,,,
COL-004,8 Collaboration / QA / IDS,SHOULD,Beta,QA/QC inspections y checklists,0.5-1.5 d,COL-001,TODO,,,
COL-005,8 Collaboration / QA / IDS,SHOULD,Beta,NCR y punch workflows,0.5-1.5 d,COL-004,TODO,,,
COL-006,8 Collaboration / QA / IDS,SHOULD,Beta,Evidence attachments,0.5-1.5 d,"COL-004,FND-006",TODO,,,
COL-007,8 Collaboration / QA / IDS,SHOULD,Beta,IDS validation jobs,0.5-1.5 d,"BIM-017,FND-007",TODO,,,
COL-008,8 Collaboration / QA / IDS,SHOULD,Beta,Notifications y workflow events,0.5-1.5 d,"COL-001,COL-005,FND-005",TODO,,,
ADV-001,9 Advanced BIM Intelligence,COULD,Post-Beta,Revision diff por identidad y propiedades,0.5-1.5 d,BIM-017,TODO,,,
ADV-002,9 Advanced BIM Intelligence,COULD,Post-Beta,Lineage candidate matching,0.5-1.5 d,"ADV-001,BIM-013",TODO,,,
ADV-003,9 Advanced BIM Intelligence,COULD,Post-Beta,Manual lineage remap,0.5-1.5 d,"ADV-002,FND-004",TODO,,,
ADV-004,9 Advanced BIM Intelligence,COULD,Post-Beta,Clash engine adapter/orchestration,0.5-1.5 d,"VWR-011,FND-007",TODO,,,
ADV-005,9 Advanced BIM Intelligence,COULD,Post-Beta,CRS y georreferenciación,0.5-1.5 d,BIM-008,TODO,,,
ADV-006,9 Advanced BIM Intelligence,COULD,Post-Beta,Parcel/setback analysis,0.5-1.5 d,ADV-005,TODO,,,
ADV-007,9 Advanced BIM Intelligence,COULD,Post-Beta,Search indexing,0.5-1.5 d,"BIM-015,FND-005",TODO,,,
ADV-008,9 Advanced BIM Intelligence,COULD,Post-Beta,AI copilot read-only y grounded,0.5-1.5 d,"BOQ-016,SCH-016,PRG-012,COL-007",TODO,,,
ENT-001,10 Enterprise Hardening,MUST,Enterprise,OIDC SSO,0.5-1.5 d,"FND-010,FND-002",TODO,,,
ENT-002,10 Enterprise Hardening,SHOULD,Enterprise,SAML enterprise adapter,0.5-1.5 d,ENT-001,TODO,,,
ENT-003,10 Enterprise Hardening,SHOULD,Enterprise,ABAC y permisos por proyecto,0.5-1.5 d,"ENT-001,FND-016",TODO,,,
ENT-004,10 Enterprise Hardening,COULD,Enterprise,PostgreSQL RLS defence-in-depth,0.5-1.5 d,ENT-003,TODO,,,
ENT-005,10 Enterprise Hardening,MUST,Enterprise,Secrets y encryption/KMS,0.5-1.5 d,"ENT-001,FND-006",TODO,,,
ENT-006,10 Enterprise Hardening,MUST,Enterprise,Rate limiting y security headers,0.5-1.5 d,"ENT-001,AUD-006",TODO,,,
ENT-007,10 Enterprise Hardening,MUST,Enterprise,"Backups, restore y DR",0.5-1.5 d,"FND-006,FND-003",TODO,,,
ENT-008,10 Enterprise Hardening,SHOULD,Enterprise,HA y escalado de workers,0.5-1.5 d,"BIM-018,D4-008",TODO,,,
ENT-009,10 Enterprise Hardening,SHOULD,Enterprise,Retention y lifecycle de artifacts,0.5-1.5 d,"FND-006,COL-006",TODO,,,
ENT-010,10 Enterprise Hardening,SHOULD,Enterprise,Webhooks firmados,0.5-1.5 d,"FND-005,FND-009",TODO,,,
ENT-011,10 Enterprise Hardening,SHOULD,Enterprise,Integration framework,0.5-1.5 d,ENT-010,TODO,,,
ENT-012,10 Enterprise Hardening,COULD,Enterprise,Autodesk/ACC adapter,0.5-1.5 d,ENT-011,TODO,,,
ENT-013,10 Enterprise Hardening,SHOULD,Enterprise,ERP cost connector,0.5-1.5 d,"ENT-011,PRG-009",TODO,,,
ENT-014,10 Enterprise Hardening,SHOULD,Enterprise,Compliance export y audit search,0.5-1.5 d,"FND-004,COL-005,ENT-009",TODO,,,
ENT-015,10 Enterprise Hardening,MUST,Enterprise,Load/soak/performance certification,0.5-1.5 d,"ENT-008,PRG-011,VWR-013",TODO,,,
ENT-016,10 Enterprise Hardening,MUST,Enterprise,Production readiness y piloto,0.5-1.5 d,"ENT-005,ENT-006,ENT-007,ENT-015",TODO,,,
